
new entry "Spell_PitifulRiteofWhiskey"
type "SpellData"
data "SpellType" "Projectile"
data "Level" "0"
data "SpellSchool" "Evocation"
data "SpellProperties" "GROUND:Spawn(79050068-7ce3-43f9-a9a3-1646f5eb39c3,-1)"
data "TargetFloor" "-1"
data "TargetRadius" "18"
data "ProjectileCount" "1"
data "Trajectories" "792ba497-a6ea-46bc-81cb-deb78e4dd9d3"
data "Icon" "Item_CONT_Barrel_Alcohol_A"
data "DisplayName" "h5571c1d7g9cbbg4051g9e20g473382c027eb;1"
data "Description" "h365710a4ga915g4a78g8565gfa00e6154f9b;2"
data "PrepareSound" "Vocal_Component_PrepareViciousMockery"
data "CastSound" "Spell_Cast_Damage_Psychic_ViciousMockery_L1to3"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "3ff87abf-1ea1-4c32-aadf-c822d74c7dc0,,;,,;38cdb41c-2eec-4e03-bb31-83cff0346c35,,;85414f5f-b448-4dda-9370-1b6c4b38b561,,;d8925ce4-d6d9-400c-92f5-ad772ef7f178,,;,,;eadedcce-d01b-4fbb-a1ae-d218f13aa5d6,,;,,;,,"
data "VerbalIntent" "Summon"
data "SpellFlags" "HasVerbalComponent;HasSomaticComponent;IsSpell;HasHighGroundRangeExtension;RangeIgnoreVerticalThreshold;IsHarmful"
data "HitAnimationType" "MagicalDamage_External"
data "PrepareEffect" "11598ca1-f622-40dd-9ad3-d43b3bcf0196"
data "CastEffect" "11d8e65e-d1bf-4d29-aa55-0f92e4576d58"
